ax (m/s^2),ay (m/s^2),az (m/s^2)
0.022,-0.0432,0.3312
0.0493,-0.0271,0.2045
0.0753,0.0039,0.22
0.0474,-0.0137,0.2792
0.0241,-0.0398,0.3041
0.061,-0.0801,0.2365
0.1061,-0.0015,0.1565
0.0864,-0.0615,0.2534
0.0795,-0.0289,0.2703
0.0211,-0.0226,0.3604
-0.0594,-0.105,0.2986
-0.013,-0.121,0.1886
0.0696,-0.0454,0.2604
0.0776,-0.0247,0.2807
0.0336,0.0282,0.1622
0.0233,-0.0242,0.1573
-0.0157,-0.0704,0.3449
0.0457,-0.0194,0.3194
0.1348,-0.0365,0.2279
0.0854,-0.0469,0.1926
0.0314,-0.0873,0.2719
0.015,-0.018,0.2318
0.0858,-0.0243,0.313
0.1077,-0.0717,0.3275
0.0001,-0.0502,0.3249
0.0002,-0.049,0.2832
-0.0062,-0.0643,0.232
0.0098,-0.0811,0.2727
-0.0557,-0.105,0.3049
-0.0014,-0.0131,0.3282
0.0408,0.0112,0.203
0.082,-0.0178,0.2194
0.0197,-0.0657,0.3244
0.0286,-0.0897,0.3047
0.0338,-0.0037,0.2898
0.1056,-0.0254,0.1391
0.0914,-0.0679,0.1507
0.0266,-0.0549,0.2781
0.0203,-0.0258,0.2977
-0.0251,-0.0493,0.2702
0.0184,-0.0221,0.2593
0.0341,-0.0189,0.2436
0.091,-0.0258,0.2291
0.0358,0.0276,0.2592
0.0033,0.0013,0.3152
-0.0749,-0.0487,0.2234
-0.0417,-0.0625,0.2257
0.0359,-0.0944,0.2758
0.1049,-0.0052,0.261
0.1012,0.001,0.1997
0.1027,-0.0331,0.1863
0.0005,-0.0432,0.2012
0.0021,-0.0445,0.2538
0.0883,-0.0245,0.2252
0.0459,-0.0407,0.2634
0.0215,-0.0324,0.1563
0.0366,-0.0561,0.1451
0.0141,-0.0678,0.3301
-0.0608,-0.0158,0.3237
-0.0374,-0.0372,0.3074
0.0466,-0.0406,0.2556
0.0768,-0.0273,0.207
0.0886,-0.0112,0.1605
0.1014,-0.038,0.2114
0.0851,-0.0511,0.26
0.0587,-0.0544,0.2715
-0.0526,-0.0339,0.2877
-0.009,-0.0105,0.2744
0.0253,0.0009,0.2036
0.12,0.008,0.2356
0.0781,-0.0267,0.2534
-0.0478,-0.0664,0.2897
-0.0216,-0.0657,0.2338
0.0213,-0.006,0.2586
0.0196,-0.0064,0.3548
0.1154,-0.0438,0.206
0.0986,-0.0889,0.1289
0.0111,-0.0252,0.2575
-0.0224,-0.0592,0.2619
0.0623,-0.0349,0.2279
0.0584,-0.0709,0.2975
-0.0188,-0.0288,0.2705
-0.0154,-0.0952,0.2465
0.0221,-0.0281,0.2389
0.0565,-0.0074,0.28
0.0579,-0.0181,0.2108
0.018,-0.0948,0.2738
0.0006,-0.0368,0.2919
-0.0322,-0.0106,0.2385
0.0572,-0.0586,0.1307
0.0965,-0.0691,0.2926
0.0759,-0.0544,0.3334
0.0104,-0.0394,0.1839
0.0325,-0.0797,0.2262
0.0228,-0.02,0.2296
0.0652,-0.0295,0.3327
0.0288,-0.0353,0.2418
-0.018,-0.0316,0.2319
-0.0048,-0.0122,0.334
0.0188,-0.0589,0.2398
0.0345,-0.0067,0.2279
0.0241,-0.0375,0.3075
0.0369,-0.1213,0.1967
0.0533,-0.0944,0.1918
