ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0599,0.0369,-0.0953
0.1157,0.0211,-0.0789
0.0856,0.0452,-0.0899
0.0238,0.0369,-0.1043
0.0214,0.0607,-0.0579
0.0611,0.0007,-0.0789
0.076,0.0092,-0.0216
0.0503,0.0348,-0.0609
0.0733,-0.0104,-0.0937
-0.013,0.0104,-0.0097
0.0803,0.0438,-0.0792
0.0935,0.0228,-0.0733
0.0689,0.0354,-0.0164
0.0684,0.0089,-0.0822
0.0346,0.0396,-0.0581
0.0756,0.0153,-0.0802
0.0763,0.0261,-0.0918
0.0978,0.0597,-0.0744
0.0728,0.0316,-0.078
0.0391,0.061,-0.1072
0.0608,0.0562,-0.0417
0.0755,0.0769,-0.0653
0.0404,0.0356,-0.0974
0.072,0.0239,-0.1308
0.08,0.0196,-0.1035
-0.0019,0.0128,-0.0753
0.0447,0.0197,-0.0696
0.0945,0.0224,-0.072
0.0834,0.0072,-0.0664
0.0631,0.0571,-0.0986
0.0676,0.0241,-0.0804
0.0392,0.0056,-0.0814
0.0692,0.0222,-0.0855
0.0355,0.0648,-0.0834
0.0296,0.0059,-0.1057
0.0418,0.0162,-0.0948
0.0967,0.0386,-0.1099
0.0118,0.0402,-0.0769
0.0375,0.0412,-0.0728
0.0676,0.0097,-0.085
0.0663,0.0196,-0.1058
0.0682,0.0227,-0.1339
0.0744,0.0311,-0.0391
0.0703,0.0119,-0.0561
0.0812,0.0184,-0.0958
0.0462,0.0311,-0.052
0.1003,0.065,-0.0984
0.0908,0.022,-0.0737
0.0244,0.0264,-0.0764
-0.018,0.0066,-0.0497
0.0301,-0.0113,-0.0834
0.0864,0.0541,-0.0818
0.0675,0.0511,-0.0646
0.0869,0.0271,-0.0853
0.0395,-0.0153,-0.1005
0.0713,0.0045,-0.0853
0.0714,0.081,-0.0826
0.0781,0.0201,-0.0811
0.0668,0.058,-0.0633
0.0708,0.0053,-0.1151
0.0378,-0.0012,-0.0758
0.0406,0.0115,-0.0936
0.073,0.0334,-0.0901
0.0371,0.0256,-0.0953
0.056,0.0377,-0.0905
0.0398,0.0274,-0.0928
0.1058,0.0581,-0.0297
0.0435,0.0574,-0.0733
0.0722,0.0378,-0.1029
0.1105,0.0642,-0.103
0.0855,0.0177,-0.0678
0.0421,0.0108,-0.0511
0.0225,0.0332,-0.1236
0.0555,0.0106,-0.0735
0.067,0.0364,-0.0929
0.0272,0.0491,-0.1012
0.1205,0.0348,-0.0813
0.1259,0.0302,-0.1166
0.0743,0.004,-0.0792
0.0618,-0.0275,-0.0738
0.0522,0.0099,-0.1058
0.06,0.0081,-0.0959
0.0954,0.0751,-0.0916
0.0483,0.0144,-0.0498
0.0326,0.0073,-0.0665
0.0493,0.0667,-0.0919
0.0956,0.0012,-0.1222
0.09,0.0035,-0.0635
0.0826,0.0071,-0.0968
0.0759,-0.0087,-0.0681
0.0344,0.0176,-0.126
0.0781,0.035,-0.0311
0.1024,0.0484,-0.0402
0.1033,0.0581,-0.0465
0.0497,0.0615,-0.0747
0.0311,0.0211,-0.0821
0.0424,0.0608,-0.1169
0.0757,0.0217,-0.1019
0.0546,0.0417,-0.1183
0.073,0.0319,-0.1091
0.0186,0.0278,-0.0706
0.0574,0.03,-0.1113
0.0248,0.039,-0.1038
0.0649,0.0481,-0.0919
0.0462,0.0536,-0.0773
0.0796,0.039,-0.0691
0.0634,0.0169,-0.0825
0.0766,0.0105,-0.0412
0.077,0.0035,-0.0471
0.0715,0.0153,-0.0698
0.0638,0.0009,-0.0944
0.056,0.0701,-0.0956
0.0455,0.0357,-0.1031
0.0364,0.0202,-0.0468
0.0795,0.0628,-0.0891
0.0646,-0.0041,-0.0831
0.0592,0.0451,-0.0869
0.0808,0.0014,-0.1346
0.0603,0.0726,-0.1115
0.0313,0.0098,-0.0988
0.059,0.0487,-0.0618
0.0309,0.0332,-0.0946
0.0595,0.0828,-0.0802
0.1107,0.0208,-0.0819
0.0719,0.0215,-0.0983
0.067,0.0156,-0.0749
0.0766,0.0287,-0.0527
0.0451,0.0032,-0.1381
0.0707,0.0385,-0.0681
0.0642,0.0127,-0.1054
0.0297,0.0142,-0.0543
0.1512,-0.0092,-0.0557
0.1166,0.067,-0.0547
0.0917,-0.0107,-0.0761
0.0722,-0.0032,-0.0908
0.0476,0.0217,-0.0882
0.1115,-0.0278,-0.0508
0.0886,-0.0104,-0.0904
0.0716,0.0183,-0.0975
0.0596,0.028,-0.1236
0.0499,0.0409,-0.0285
0.0616,0.0687,-0.0652
0.0573,0.0448,-0.0952
0.0858,0.039,-0.0815
0.0907,0.0716,-0.0888
0.0435,0.014,-0.0951
0.0431,0.011,-0.0696
0.0743,-0.0028,-0.0813
0.0248,0.0214,-0.1117
0.0516,0.0137,-0.118
0.049,0.0445,-0.0737
0.0628,0.0084,-0.0401
0.0798,0.008,-0.0541
0.0737,0.0455,-0.0636
0.0979,-0.0191,-0.0895
0.0512,0.0317,-0.0845
0.0351,0.0079,-0.1334
0.0693,0.0212,-0.0776
0.052,0.0667,-0.0639
0.001,0.023,-0.076
0.0346,0.0679,-0.1262
0.0856,0.0367,-0.072
0.0859,0.0493,-0.0474
0.0814,0.0692,-0.0696
0.0504,0.0349,-0.1399
0.0551,0.0357,-0.1079
0.0632,0.0364,-0.0824
0.0635,0.039,-0.1269
0.0627,0.0442,-0.0254
0.0232,0.0068,-0.0685
0.0678,0.0158,-0.1297
0.0376,0.0376,-0.0778
0.0816,0.0255,-0.0918
0.0604,0.0352,-0.1235
0.0121,0.0147,-0.0956
0.0787,0.0339,-0.1068
0.0546,0.0178,-0.0705
0.0927,0.0234,-0.0941
0.0435,0.0283,-0.0724
0.0303,0.0621,-0.115
0.0365,0.0483,-0.0318
0.1117,0.008,-0.0925
0.0983,0.0288,-0.0886
0.0765,0.0219,-0.0912
0.0758,0.0215,-0.0562
0.0704,0.0293,-0.0865
0.0445,0.0538,-0.0891
0.0734,0.087,-0.1053
0.0398,0.0257,-0.1264
0.0454,0.0541,-0.1211
0.0342,0.0345,-0.0852
0.0345,-0.0116,-0.08
0.03,0.0205,-0.1003
0.0092,0.0727,-0.0532
0.0517,0.0313,-0.0147
0.0853,0.0168,-0.0581
0.0535,0.0342,-0.0805
0.0195,0.0293,-0.066
0.0017,-0.0442,-0.0704
-0.0142,-0.0518,-0.1046
0.081,0.0569,-0.0869
0.1286,0.0758,-0.0663
0.1104,0.0727,-0.009
0.067,0.0502,-0.0403
0.0372,0.0446,-0.0886
0.1346,0.0365,-0.0538
0.1037,0.0255,-0.0484
0.0666,0.018,-0.0374
0.0336,0.0175,-0.0777
0.0723,-0.0129,-0.1142
0.1113,0.0368,-0.1049
0.0614,0.0463,-0.0942
0.0558,0.0017,-0.0702
0.0376,0.0178,-0.0911
0.0629,0.0397,-0.1202
0.0856,0.0278,-0.1355
0.0444,0.0353,-0.1135
0.0387,-0.035,-0.0947
0.0315,0.0062,-0.0676
0.0813,0.0489,-0.0761
0.0875,0.0734,-0.0798
0.0722,0.0125,-0.0639
0.0152,0.0142,-0.0483
0.0296,0.0332,-0.0578
0.0728,0.0037,-0.0438
0.0829,0.0769,-0.1079
0.0416,0.0339,-0.1034
0.0833,0.0365,-0.0579
0.0735,0.0077,-0.0886
0.0533,0.0091,-0.1131
0.0705,0.0581,-0.0633
0.0471,0.032,-0.1057
0.0494,0.0513,-0.0862
0.0716,0.0137,-0.1288
0.0595,0.0114,-0.1097
0.0896,0.0206,-0.0941
0.0828,-0.0023,-0.0771
0.0469,0.0377,-0.0986
0.0705,0.0272,-0.0864
0.0539,0.0457,-0.0792
0.0476,0.0446,-0.0929
0.0475,0.0421,-0.0907
0.0641,0.0099,-0.1249
0.1119,-0.011,-0.0917
0.0709,0.0437,-0.0878
0.0658,-0.0146,-0.0756
0.0542,0.0226,-0.1136
0.068,0.0506,-0.028
0.0664,0.075,-0.0953
0.0452,0.0428,-0.0979
-0.0039,0.0053,-0.0874
0.0587,0.0113,-0.071
0.1155,0.0835,-0.1027
0.1137,0.0733,-0.0649
0.0615,0.0287,-0.0479
0.0714,0.0713,-0.0621
0.079,0.0185,-0.0565
0.0388,0.0302,-0.0725
0.0677,0.0275,-0.0759
0.0905,0.0024,-0.071
0.0479,0.007,-0.098
0.0641,-0.0077,-0.0549
0.0145,-0.0178,-0.1087
0.0578,-0.0082,-0.1173
0.0562,0.0301,-0.0528
0.0442,0.0175,-0.0721
0.0466,0.0827,-0.0816
0.0483,0.047,-0.0419
0.0699,0.0173,-0.0537
0.077,-0.0211,-0.0878
0.0714,-0.0294,-0.0859
0.0528,0.0051,-0.0703
0.0531,0.0195,-0.0747
