ax (m/s^2),ay (m/s^2),az (m/s^2)
-1.6447,5.0884,-0.3921
-1.6447,5.0884,-0.3921
-0.5301,4.9597,-0.6764
1.8628,3.0791,-1.038
5.6486,0.2932,-1.5145
6.0581,0.8984,-1.459
3.3108,2.2687,-1.192
1.2354,1.8301,-1.999
-1.1827,-4.2864,-7.4459
-3.6062,-8.301,2.1063
-3.7977,-4.0583,3.2126
-2.9898,-2.1262,0.5178
1.5928,-10.232,-2.547
3.5343,-9.487,-2.135
0.4678,-0.5628,-0.3253
-3.1912,-1.238,1.2326
-6.4157,-3.0365,5.4853
-6.2846,-3.5169,7.0651
-3.8773,-3.3361,5.0326
-1.6516,-2.0808,2.1039
0.8114,-1.3528,-0.5951
2.9656,0.8876,-6.0335
1.1465,1.7398,-3.8964
-0.4199,2.9222,-0.8266
-1.6476,1.8886,1.3952
-1.8926,1.0558,1.9384
1.2956,2.8464,-2.5907
1.423,3.6024,-2.3402
1.0799,4.5897,-0.7578
2.1473,3.2311,0.6871
3.3198,0.0872,1.2445
0.1118,0.9408,0.3598
-0.5405,1.2487,0.2476
-2.5371,2.5098,0.0379
-2.2458,1.9366,-0.5832
2.4049,-6.5701,-0.9276
3.9745,-6.0763,-0.7741
3.1666,-3.9765,-1.0672
1.7991,-4.855,-0.9982
0.7451,-6.6052,-0.7709
-2.9227,-4.6999,-0.2726
-4.6208,-2.4765,0.7793
-4.5235,-1.9104,0.9529
-3.7854,-0.4093,0.4427
-2.5163,-0.8145,-0.9338
-1.4104,-1.2646,0.0661
-1.8268,-0.8738,0.9854
-3.0421,0.4348,0.6371
-3.6379,1.1219,0.6421
-4.308,2.8223,0.4529
-4.2844,4.2631,0.3212
-3.9532,4.7347,0.6934
-3.1694,4.2572,0.1537
-2.6387,3.6179,-0.5343
-0.5348,1.4348,-2.6594
4.4431,-2.3588,-5.8013
6.339,-2.105,-3.5291
6.6386,1.4249,-0.0002
7.2311,2.0695,0.5446
6.5643,1.6127,-0.2937
2.943,0.5885,-3.4137
-4.7427,-4.5111,-2.1391
-4.6317,-3.777,1.5208
-4.4389,-5.4202,3.6107
-4.5284,-10.2809,6.6845
-0.7689,-8.2921,2.7649
2.7527,-0.3619,-1.0109
0.246,0.9564,0.5493
-0.7395,0.5127,1.5806
-5.1887,-1.4558,8.8558
-6.7048,-2.2104,8.1794
-4.5455,0.0087,0.0072
-0.8079,0.6082,-0.9501
0.4901,-1.0599,-2.5409
1.0624,-1.5137,-4.117
1.2073,-0.8573,-2.3886
0.7787,0.4248,0.3842
0.408,1.8606,0.011
0.8333,1.1083,-1.5175
1.6277,-0.0392,-3.1983
2.4888,-0.9575,-3.0486
3.1523,-1.0446,-1.1756
3.6634,-0.895,-0.5721
3.2345,-0.5307,-1.0879
2.9051,-0.3972,-0.9846
3.2789,-2.9276,-1.0534
2.5651,-4.3201,-1.6553
0.795,-3.3003,-2.9946
1.2128,-2.2968,-3.6602
0.2391,-1.1409,0.251
-1.8382,-1.2399,3.4382
-3.5688,-2.9901,3.7067
-3.8591,-2.8004,2.8485
-0.9262,-1.4494,1.3925
0.4187,-1.0989,0.6201
0.7126,-0.9408,0.3553
-1.0069,-1.187,0.9115
-2.2522,-1.4481,1.0726
-2.571,-0.2817,0.8943
-2.6624,0.0131,0.8376
-3.0796,0.9814,0.8321
-3.6563,1.9087,1.4213
-3.943,2.1293,1.7882
-3.7036,1.7816,1.1377
-3.5114,1.8046,0.9019
-3.1678,1.9526,1.1106
-2.9439,1.7053,1.3696
-2.7299,0.4881,0.8688
-0.4693,-0.8783,-0.7534
0.5844,-1.2459,-1.0834
2.896,-1.814,-1.3402
5.3845,-2.2031,-1.3479
5.962,-1.4855,-1.4931
2.4843,-1.1315,-1.5758
1.0486,-1.1069,-1.1848
-0.7918,-2.779,-0.1211
-2.3727,-6.3401,0.4997
-4.3229,-7.1956,0.3537
-6.3898,-4.1748,-2.7277
-3.2936,1.5712,1.0411
-2.5589,4.3237,3.4302
-3.7627,4.3912,4.0282
-3.1297,3.193,3.4979
-2.7869,0.75,1.0669
-3.6536,-3.5095,1.946
-1.6,-2.6836,2.1177
3.239,-1.2182,0.927
5.1748,-0.4668,-0.8064
3.0182,0.5185,-0.393
