ax (m/s^2),ay (m/s^2),az (m/s^2)
2.1075,-0.3927,0.0932
2.0175,-1.3917,-0.2642
0.8537,-2.1726,-0.6805
0.0664,-2.0124,-0.7908
-0.3082,-0.9109,-0.874
-0.7413,1.3911,-1.4946
-1.5101,2.0105,-2.0535
-1.9615,2.0258,-1.776
-2.3477,2.3227,-1.0445
-1.3837,2.7633,0.1393
-0.9615,1.8284,0.1678
-0.7058,1.329,0.5751
-0.2137,1.2477,1.009
0.6282,1.1258,1.9016
1.1789,0.8461,1.4083
0.9402,0.7128,-0.321
0.4032,0.8895,0.499
0.176,0.5614,0.5504
-0.4319,-0.6938,-0.0566
-1.4887,-1.7698,0.124
-1.8135,-1.8436,0.7675
-2.0857,-4.045,-0.225
-2.0878,-4.2341,-0.2973
-2.3834,-4.5417,-0.179
-3.5924,-3.6506,-0.4039
-6.4259,-2.1596,-0.6022
-6.295,-0.7388,0.3668
-6.1654,-0.5979,0.4373
-4.7476,-0.4561,1.0978
-2.6534,-1.69,2.1205
-1.0056,-2.9423,1.8891
-0.8975,-2.1608,0.335
-1.6553,-0.0292,-0.877
-1.6427,0.4511,-0.6925
-2.3607,0.9818,0.4661
-2.5049,0.273,0.4551
-2.0546,-1.3521,-1.2212
-0.0769,-3.9873,1.2815
2.6719,-5.4752,2.5749
5.0655,-4.12,-0.2733
5.0604,-1.7097,-0.9509
4.1023,0.1773,0.1309
4.1288,0.3427,0.1902
4.2508,0.0756,-0.0571
4.4246,-0.1695,-0.3166
4.0446,-0.1875,0.0399
4.096,0.2596,0.2589
4.6545,1.2842,-0.4053
4.6809,1.4128,-0.5365
4.4874,1.2601,-0.7274
3.9709,1.1218,-0.6054
2.7902,1.4517,-1.2831
1.7848,1.4274,-2.235
1.3484,1.2125,-2.4529
1.2289,0.9442,-2.1887
1.7487,0.2349,-0.3837
2.5114,-1.1539,-0.8083
1.6933,-3.3889,-1.3554
0.2142,-6.858,-1.9019
-1.5113,-10.05,-0.2978
-3.7887,-9.6327,0.8189
-3.0731,-1.5085,2.8351
-2.386,1.6679,3.4754
-0.9181,1.6746,3.076
2.0844,0.5923,1.636
3.0867,-1.5253,-0.1789
3.0039,-2.1825,-0.9154
2.3664,-0.9049,-0.9881
1.6862,0.0368,-1.5322
1.4357,0.2029,-1.8214
0.4997,0.4051,-2.2432
-0.91,0.6298,-1.7497
-2.4414,1.2027,-0.7144
-6.5614,2.4339,6.2367
-5.7181,2.4725,3.9489
-3.2763,2.3167,1.1443
-2.5005,2.269,0.0772
0.0946,1.4331,1.8572
1.7733,0.4018,2.8622
1.9979,0.0429,1.1442
2.1298,-0.4364,0.306
0.6104,-1.348,0.6878
-2.8048,-1.3955,0.8335
-4.4173,-1.0763,1.088
-4.5916,-0.9911,1.277
-3.4201,-1.4203,1.3676
-2.1421,-2.4606,0.6363
-2.8326,-4.1531,0.3274
-4.0347,-4.9388,0.5873
-4.1501,-4.004,1.0238
-4.2681,-1.6849,1.8578
-4.4312,-0.165,2.1342
-6.059,0.1803,2.1926
-4.8657,-1.2695,0.5403
-4.8657,-1.2695,0.5403
-3.7541,-0.9705,-0.3683
-2.8878,-1.2624,-0.2853
0.2482,-3.5128,-0.9098
2.7252,-4.5983,-1.5294
3.1596,-4.376,-0.7265
3.0951,-3.6971,0.7104
1.4051,-2.4993,2.3009
1.0864,-1.8303,0.6288
1.9876,-1.9166,-0.6421
3.5135,-1.0057,-1.3244
3.8862,-0.5298,-1.0328
5.4893,0.7692,0.1352
6.805,1.5812,0.8952
6.6134,2.2031,0.6178
5.8568,2.7209,0.1732
5.6662,2.4246,0.1932
5.3103,1.8297,-0.0202
4.4588,1.743,-0.6577
2.7451,2.0097,-1.6411
0.244,1.6406,-1.1326
0.244,1.6406,-1.1326
-0.2143,0.8553,-0.933
-0.2176,-0.6947,-0.0872
0.2639,-1.9239,0.7824
0.7089,-4.077,-1.4993
-0.3741,-6.2186,-1.4058
-4.7969,-11.9355,0.2601
-5.7044,-8.6314,2.3085
-2.5692,2.0203,5.0753
1.1846,2.7549,3.78
3.0498,1.9815,2.7114
3.8723,0.6205,1.1762
3.691,-1.6586,-0.5352
1.5302,-2.8466,-1.2899
-0.0464,-2.0054,-1.6572
-0.4794,-1.2998,-1.93
-1.6999,0.4925,-2.3826
-2.7358,1.5091,-2.3157
-3.1096,2.1444,-0.6894
-2.4958,2.3025,0.1547
-2.5177,2.2981,0.376
-1.8595,2.0709,0.9039
-1.1605,1.0445,1.8265
-0.5615,0.5428,2.4137
1.4062,0.5258,3.1641
3.1951,-0.0124,2.1935
2.9379,0.0286,0.9819
2.1578,0.2855,0.2355
0.0776,0.446,0.8645
-1.1259,0.8,0.6241
-1.1933,0.6456,-0.4715
-1.0634,0.216,-0.2087
-0.4937,-0.7442,0.3635
0.1838,-1.4081,0.7705
-1.4452,-0.9251,0.0633
-3.8125,0.0047,0.6049
-4.03,0.1035,0.8502
-3.8955,-0.1349,0.9284
-3.1098,-0.2738,0.398
-2.8348,-0.0964,-0.4602
-4.347,-1.4035,0.7459
-4.6117,-0.6572,1.8636
-5.9104,0.6312,1.9543
-6.0749,2.1441,0.8762
-2.9275,-0.507,-0.5246
3.6197,-5.0445,-1.7643
3.9205,-5.0041,-1.6051
5.4608,-4.8583,-1.1928
7.0767,-3.37,-0.1201
2.4898,-2.589,0.8523
1.0372,-1.0312,-0.224
0.9278,-0.7573,-0.0302
0.9229,-0.451,0.4388
1.6119,-0.088,0.1709
3.2793,-0.302,-0.3295
4.4195,-0.9367,-0.0249
4.4195,-0.9367,-0.0249
4.7292,-0.8961,-0.1911
5.3553,-0.5904,-0.1931
5.6272,0.0946,-0.2421
5.8071,0.7803,-0.1299
5.7548,0.5399,0.4373
5.3698,0.2637,0.7944
4.5481,-0.3332,1.1415
2.4985,-1.9233,2.145
-5.2519,-2.842,1.2634
-9.9259,-0.1685,-1.7769
-11.4607,0.9015,-0.9841
-10.5453,3.2608,0.7169
-12.2196,3.6151,1.6387
-4.9181,2.2343,-0.2194
1.2766,-5.5103,-0.0341
1.2766,-5.5103,-0.0341
9.8938,-6.8534,8.4602
6.0202,-4.9785,3.1698
4.9322,-2.2415,0.0697
3.1711,-1.165,-1.2695
2.6077,-0.2443,-1.803
2.3719,0.5243,-2.6347
2.3337,1.4522,-3.1054
1.655,1.6839,-1.8418
0.8344,0.8887,-0.7277
-0.2165,0.074,-0.0804
-1.8615,-0.3526,0.9688
-2.2982,-0.3597,0.3322
-1.4777,-0.6747,-0.7109
-0.2246,-0.0709,0.4051
0.8896,0.345,2.3071
0.6652,0.2435,1.886
0.2864,-0.276,0.0311
-0.7391,-0.2743,-0.1664
-0.9975,0.4827,-0.1934
-0.9975,0.4827,-0.1934
-1.2266,0.9219,-0.2048
-1.2148,0.7847,0.0719
-0.9309,-0.4112,0.3681
-0.5339,-0.7152,0.3764
-0.8524,-0.0148,0.5904
-1.2751,0.0326,0.5333
-2.1388,-0.201,0.2776
-2.4135,-0.3096,0.1413
-1.7307,-0.0633,0.1516
-1.8438,0.0573,-0.6301
-2.1751,-0.0777,-0.5909
-3.1051,-0.6311,-0.32
-3.8334,-0.7749,0.1172
-6.433,-1.7579,0.0619
-6.487,-0.9509,1.8826
-6.899,-0.0401,2.7731
-7.5184,0.7099,1.6334
-5.6417,0.9919,-0.8041
-3.0797,-1.8696,-1.1837
3.0223,-8.5264,-2.5239
6.2297,-8.2047,-1.0985
8.518,-4.424,-0.0768
4.9773,0.1169,0.4778
0.4274,0.8904,0.3883
-3.2701,-0.6633,0.6738
-3.4122,-0.8885,0.3085
-2.9271,-1.0239,-0.2109
-0.1737,-1.4523,-0.8236
3.0642,-2.3896,-0.7619
4.1718,-1.9286,0.1852
4.1653,-1.3242,0.1018
4.0049,-0.8034,-0.2215
3.3256,0.1377,-0.4786
1.9028,0.4184,0.2454
0.6632,0.7127,0.5243
0.7045,0.7244,0.5584
0.8458,0.8965,0.5373
1.0944,0.9487,0.508
1.073,1.1311,0.4636
0.8541,1.2333,0.8363
1.6754,1.5345,0.6112
1.6754,1.5345,0.6112
2.1902,1.6611,0.538
2.8707,1.5239,0.3693
3.8786,0.6587,-0.2682
2.3059,-0.2995,-0.7899
1.3026,-1.5036,-2.1065
-0.046,-3.9856,-2.2923
-3.9913,-8.3131,-0.8436
-6.3522,-8.187,-0.525
-1.4276,0.1928,2.6177
-0.3894,0.7228,2.3809
1.599,1.2364,1.6202
3.5681,1.1306,0.6822
3.9589,-2.1556,-0.6787
2.8266,-3.1883,-0.3406
2.6733,-2.5803,-0.3561
2.0917,-1.7362,-0.6404
0.9467,-1.4032,-0.7652
-0.2648,-0.9725,-0.1724
-1.3764,0.4084,0.6687
-1.6038,0.7719,0.4496
-2.0526,1.0309,0.1223
-2.7561,1.2147,0.0613
-3.4502,1.5438,0.8019
-2.593,2.0051,-0.0094
-2.593,2.0051,-0.0094
-2.5598,1.8488,-0.4381
-2.0093,1.2561,-0.5148
-1.2424,0.5923,-0.4003
0.2785,-0.3237,-0.1495
2.9241,-1.1731,0.2679
3.9058,-1.5376,0.7601
4.9053,-1.5287,0.6269
2.6906,-0.9621,0.7094
-0.5122,-0.6963,0.3675
-0.8311,-0.6085,-0.0947
-0.5472,-0.612,-0.1801
0.4078,-0.8952,-0.6491
0.5963,-1.4182,-1.0077
0.2256,-2.3276,-1.0374
-1.7385,-4.0592,-0.4456
-2.6561,-4.2026,-0.5961
-3.9697,-2.8106,-0.0391
-4.6483,-0.9069,0.5556
-4.6901,0.1602,1.3331
-2.4449,-1.2558,2.5149
-1.661,-2.1823,2.5675
-0.4563,-3.0468,1.2217
-1.1776,-1.0688,-0.4923
-2.0378,0.6415,-1.6197
-2.257,1.0542,-0.726
-1.6229,0.3065,-0.1172
-0.7862,-2.1068,0.5601
1.1822,-4.7663,1.3422
2.8309,-3.9957,0.1983
3.1926,-2.2047,-1.0088
2.7547,-1.4393,-0.8237
0.6375,-0.5923,-0.4071
0.3941,-0.7082,0.0449
