ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.0562,-0.1862,-0.062
-0.0408,-0.1381,-0.0323
-0.085,-0.2262,-0.0576
-0.0773,-0.2294,-0.0357
-0.0946,-0.2124,-0.0429
-0.098,-0.2076,-0.0213
-0.1186,-0.184,-0.0132
-0.1519,-0.1967,-0.0104
-0.109,-0.21,-0.0532
-0.0059,-0.1261,-0.0235
-0.0028,-0.2145,0.0218
-0.0718,-0.2308,-0.042
-0.0879,-0.2361,-0.0282
-0.0746,-0.2073,-0.0107
-0.0584,-0.1687,-0.0575
-0.0536,-0.1906,-0.0728
-0.0318,-0.2364,-0.0083
-0.0558,-0.216,-0.0312
-0.1236,-0.2022,-0.0141
-0.1649,-0.1766,-0.0362
-0.078,-0.1744,-0.0287
-0.0999,-0.2759,-0.0063
-0.017,-0.1821,-0.0133
-0.1196,-0.16,-0.0525
-0.1174,-0.2345,-0.0459
-0.0394,-0.2399,-0.0361
-0.038,-0.2157,0.0053
-0.0346,-0.186,-0.0281
-0.0736,-0.2269,-0.0559
-0.0428,-0.1669,-0.0165
-0.0428,-0.2713,0.032
-0.008,-0.1719,-0.0213
-0.0791,-0.2455,0.0002
-0.0062,-0.1918,-0.0427
-0.0488,-0.13,0.0016
-0.1867,-0.1554,-0.1123
-0.1894,-0.1949,-0.1
-0.1258,-0.175,-0.022
-0.0944,-0.2492,0.0364
-0.0864,-0.2201,-0.0204
-0.1158,-0.189,-0.017
-0.1777,-0.2118,-0.0048
-0.1701,-0.1741,0.0649
-0.1032,-0.1925,-0.0244
-0.0775,-0.1999,-0.0511
-0.0839,-0.2589,-0.0603
-0.0318,-0.1703,-0.0729
-0.084,-0.2571,-0.0356
-0.0252,-0.2708,-0.0059
-0.0507,-0.1934,0.0187
-0.0719,-0.1958,0.0022
-0.0457,-0.183,-0.0473
-0.1075,-0.2524,-0.0337
-0.042,-0.2165,-0.0167
-0.022,-0.1618,-0.0313
0.0056,-0.1975,-0.1075
-0.009,-0.2328,-0.0387
-0.0619,-0.21,0.0512
-0.0503,-0.179,0.0185
-0.0743,-0.2608,-0.007
-0.1043,-0.2101,-0.0995
-0.0209,-0.201,-0.0764
-0.082,-0.1738,-0.0912
-0.1466,-0.1942,-0.0574
-0.1606,-0.2071,0.0157
-0.1031,-0.1617,0.0366
-0.0533,-0.2151,-0.0367
-0.0833,-0.1914,-0.0659
-0.0374,-0.1934,-0.066
-0.0366,-0.2321,-0.0572
-0.0756,-0.1619,-0.0707
-0.1167,-0.1884,-0.0221
-0.1014,-0.2097,-0.0044
-0.0803,-0.207,0.0021
-0.0491,-0.176,-0.0279
-0.0873,-0.2022,-0.0472
-0.0744,-0.2294,-0.0431
-0.043,-0.1983,-0.0477
-0.0398,-0.1862,-0.0591
-0.1032,-0.2433,-0.0368
-0.0749,-0.1933,-0.0439
-0.1116,-0.2107,0.0446
-0.1456,-0.1905,-0.0241
0.004,-0.143,0.0015
-0.0232,-0.2169,-0.0736
-0.0545,-0.2395,-0.1476
-0.0068,-0.237,-0.0612
-0.0559,-0.183,0.0344
-0.0955,-0.1794,0.0055
-0.0957,-0.1703,0.0115
-0.0927,-0.2067,-0.0749
-0.1085,-0.1609,-0.0783
-0.132,-0.228,-0.0364
-0.1073,-0.2123,0.0157
-0.0728,-0.1786,0.0114
-0.1684,-0.2202,-0.0004
-0.1582,-0.1542,-0.0681
-0.155,-0.1337,-0.0545
-0.0908,-0.1963,0.0015
0.0297,-0.266,0.004
0.0492,-0.2546,-0.0222
-0.0438,-0.2722,-0.0315
-0.1346,-0.1667,-0.0239
-0.127,-0.1808,-0.0176
-0.1849,-0.182,-0.039
-0.1316,-0.229,-0.0018
-0.001,-0.2291,0.0156
0.0352,-0.1591,-0.0401
-0.0273,-0.2033,-0.0608
-0.1166,-0.225,-0.0311
-0.1173,-0.1957,-0.0093
-0.1707,-0.2013,-0.0403
-0.1722,-0.1851,-0.0137
-0.0947,-0.1741,0.0057
-0.0886,-0.235,-0.0478
-0.0308,-0.2112,-0.0547
0.0047,-0.2127,-0.0386
0.012,-0.1732,-0.0121
-0.0742,-0.1987,-0.1014
-0.0723,-0.1843,-0.0498
-0.1314,-0.1868,-0.0486
-0.0896,-0.2159,-0.0084
-0.0263,-0.1676,-0.0082
-0.0763,-0.2227,-0.0042
-0.0537,-0.2393,-0.0382
-0.0447,-0.155,-0.0522
-0.0586,-0.1975,0.0118
-0.0998,-0.2504,-0.0351
-0.0472,-0.1902,-0.0027
-0.0372,-0.2207,-0.0709
-0.0631,-0.1682,-0.0725
-0.1275,-0.1274,-0.0181
-0.229,-0.1856,-0.0681
-0.0987,-0.191,-0.0797
-0.0729,-0.253,-0.077
0.0021,-0.2331,-0.034
-0.0381,-0.2374,0.0021
-0.0165,-0.2379,0.0154
-0.0062,-0.1705,-0.0148
0.0138,-0.1558,-0.0421
-0.0458,-0.1844,-0.0637
-0.0424,-0.301,-0.015
-0.0861,-0.2356,0.0118
-0.1348,-0.217,-0.0643
-0.076,-0.1764,-0.0764
-0.0123,-0.2362,-0.0767
-0.0445,-0.2713,0.0257
-0.105,-0.1751,0.0244
-0.088,-0.1971,-0.0338
-0.1166,-0.1857,-0.012
-0.1705,-0.1969,-0.0043
-0.0975,-0.2188,-0.0359
-0.0376,-0.1807,-0.0781
-0.0097,-0.1893,-0.0693
-0.0204,-0.2466,0.0238
-0.0773,-0.203,-0.0173
-0.0861,-0.1425,-0.0788
-0.1388,-0.1446,-0.0785
-0.1816,-0.1763,-0.0159
-0.1577,-0.1752,0.016
-0.1615,-0.2191,-0.0155
-0.0657,-0.1956,-0.0083
-0.0853,-0.2146,-0.0755
-0.0291,-0.2412,-0.071
-0.054,-0.1324,-0.0266
-0.0667,-0.1662,-0.0046
-0.0972,-0.2334,-0.0027
-0.1221,-0.2286,-0.0103
-0.1028,-0.1897,-0.0754
-0.0255,-0.2132,-0.0504
-0.0374,-0.2153,0.0105
-0.0983,-0.1735,-0.0034
-0.1033,-0.1855,-0.0109
-0.1365,-0.1783,-0.0116
-0.1264,-0.1724,-0.0729
-0.0025,-0.2104,-0.0465
-0.0468,-0.1562,0.0193
-0.072,-0.2548,-0.0228
-0.0905,-0.1842,-0.024
-0.0772,-0.1832,-0.0805
-0.0561,-0.2135,-0.0306
-0.1679,-0.1659,-0.0417
-0.1798,-0.1734,0.023
-0.2057,-0.1653,-0.0299
-0.1251,-0.2189,-0.0063
-0.0503,-0.2153,-0.0188
-0.1167,-0.1733,-0.0327
-0.0696,-0.176,-0.0259
-0.0723,-0.1963,-0.0341
-0.0693,-0.1508,-0.0793
-0.0788,-0.2107,-0.0558
-0.0565,-0.2889,-0.0111
-0.0211,-0.2357,0.0146
-0.0469,-0.2137,0.0226
-0.0645,-0.1811,-0.0543
-0.0693,-0.2266,-0.0363
-0.0175,-0.1899,-0.0463
-0.0432,-0.2135,0.0127
-0.0827,-0.2581,-0.0125
-0.0324,-0.2574,-0.0082
-0.0916,-0.1651,-0.0074
-0.073,-0.2126,0.0014
-0.0744,-0.2443,-0.0151
-0.0831,-0.2118,0.003
-0.0758,-0.2269,-0.058
0.0191,-0.2402,-0.0119
-0.1228,-0.2305,-0.0336
-0.1144,-0.2129,0.0551
-0.0566,-0.1462,0.0
-0.1109,-0.1844,-0.0895
-0.1163,-0.1949,-0.0258
-0.0873,-0.1863,-0.0205
-0.0582,-0.2394,-0.0138
-0.0846,-0.2683,-0.0459
-0.0283,-0.2093,-0.053
-0.082,-0.2287,-0.0671
-0.0548,-0.2164,-0.0123
-0.0419,-0.2301,-0.0449
0.0202,-0.2167,0.0632
-0.0727,-0.2104,-0.0024
