ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.0409,-0.2904,-0.071
-0.0057,-0.3181,0.0665
0.0105,-0.3396,0.0813
0.0857,-0.3531,0.0439
0.0532,-0.3124,-0.0144
-0.0335,-0.271,-0.1267
-0.1244,-0.2831,-0.0797
-0.1667,-0.3283,-0.0094
-0.1251,-0.2696,0.0514
0.0382,-0.3287,-0.052
0.0694,-0.2854,-0.1143
0.0577,-0.3358,-0.0429
0.0174,-0.3114,-0.01
-0.0717,-0.3082,-0.0256
-0.0674,-0.2942,-0.0604
-0.0719,-0.2772,-0.0299
-0.0274,-0.3351,0.0016
-0.0104,-0.3272,0.0101
-0.0318,-0.3152,0.0015
-0.0931,-0.2632,-0.0677
-0.1052,-0.3014,-0.0677
-0.0953,-0.2611,-0.1398
-0.0688,-0.3432,-0.0198
0.0053,-0.293,0.075
0.0435,-0.3018,-0.0161
0.0048,-0.3395,-0.1117
-0.0801,-0.2772,-0.0615
-0.1048,-0.2822,0.0207
-0.1231,-0.2994,-0.0147
-0.1415,-0.3278,-0.0075
-0.0181,-0.2729,-0.0441
0.0653,-0.3427,-0.0446
0.1293,-0.2872,-0.0353
-0.021,-0.3228,-0.0315
-0.1386,-0.2798,0.0371
-0.0832,-0.3041,-0.0221
-0.0796,-0.3323,0.0225
-0.0171,-0.2893,-0.0344
0.0215,-0.2991,-0.0812
-0.0447,-0.299,-0.0386
-0.1049,-0.2753,0.1136
-0.1218,-0.2945,0.1391
-0.0977,-0.3066,0.13
-0.1433,-0.3361,0.0108
0.0096,-0.2715,-0.1337
0.019,-0.3003,-0.1421
-0.0291,-0.3163,-0.0947
-0.1099,-0.2954,-0.032
-0.1796,-0.2934,0.0216
-0.0807,-0.2838,-0.0395
0.0013,-0.3146,-0.0885
-0.0665,-0.3265,-0.0491
-0.0691,-0.3333,-0.0013
-0.0179,-0.2851,0.0742
-0.013,-0.2657,-0.0011
-0.0448,-0.2963,-0.0443
-0.0195,-0.3111,0.0012
-0.1384,-0.294,0.0412
-0.1283,-0.275,0.0398
-0.0907,-0.2801,-0.0967
0.0117,-0.337,-0.109
0.0041,-0.3728,-0.054
0.0875,-0.3032,0.0276
0.0587,-0.3233,0.026
-0.0197,-0.3058,-0.013
-0.1136,-0.3086,-0.0116
-0.1086,-0.3158,0.0165
-0.1364,-0.349,-0.0024
-0.0842,-0.304,-0.0116
-0.1278,-0.287,-0.0329
-0.0774,-0.2302,-0.0658
-0.1209,-0.3214,-0.0263
-0.1194,-0.3355,-0.0021
-0.0793,-0.2907,0.0133
0.0443,-0.3167,-0.0844
0.0644,-0.2802,-0.1488
0.0236,-0.2967,-0.1575
-0.0319,-0.3565,-0.0502
-0.0905,-0.3012,0.0578
-0.0706,-0.274,0.0956
-0.0469,-0.3679,0.0324
-0.04,-0.3437,-0.0474
0.0264,-0.3004,-0.0485
0.0372,-0.2781,-0.0784
-0.0297,-0.3277,-0.0875
-0.0301,-0.2795,-0.0216
-0.0384,-0.3304,-0.0561
-0.0105,-0.3223,-0.0207
0.0533,-0.3029,-0.0137
0.0443,-0.2664,-0.0705
0.0048,-0.2999,-0.0833
-0.0166,-0.3167,-0.0471
-0.0772,-0.2446,-0.0308
-0.0265,-0.3117,-0.0763
0.0241,-0.2875,-0.0722
0.0482,-0.2581,0.0345
-0.0262,-0.316,0.0219
-0.0882,-0.3848,0.0576
-0.1837,-0.2968,0.0803
-0.2301,-0.2253,0.0134
-0.0916,-0.2332,-0.1408
-0.0039,-0.2906,-0.1638
0.0139,-0.3007,-0.1094
-0.0514,-0.3458,-0.032
-0.073,-0.375,0.0166
-0.0639,-0.2912,0.0297
-0.0528,-0.2072,-0.0502
-0.0961,-0.2656,-0.1479
-0.1251,-0.302,-0.0356
-0.1185,-0.2643,0.0671
0.0138,-0.3146,0.0203
0.0009,-0.3165,0.0169
-0.0602,-0.2665,-0.0659
-0.0951,-0.2616,-0.132
-0.1134,-0.3682,-0.0753
-0.0587,-0.2437,0.0008
-0.0552,-0.2847,-0.0418
0.0397,-0.2777,-0.1118
0.0903,-0.2984,-0.145
-0.0902,-0.2674,0.0024
-0.1589,-0.3295,0.0199
-0.1259,-0.2847,0.0183
-0.0625,-0.2847,0.0178
0.0257,-0.3536,0.0041
0.0347,-0.3724,-0.0041
-0.0013,-0.3031,0.0429
0.0083,-0.2569,-0.0339
-0.0339,-0.3337,-0.1511
-0.0844,-0.2768,-0.1415
-0.0811,-0.2261,-0.0569
-0.0793,-0.3464,-0.0027
-0.0863,-0.3396,0.0305
0.0032,-0.3247,0.1169
0.0064,-0.2434,0.0157
-0.0044,-0.2793,-0.1493
-0.1146,-0.3345,-0.0625
-0.1095,-0.3178,0.0098
-0.0819,-0.2822,0.0058
-0.0137,-0.3334,-0.0417
-0.0323,-0.3047,-0.0281
0.0005,-0.2328,-0.0387
-0.0627,-0.259,-0.1188
-0.0454,-0.3294,-0.1579
0.0004,-0.3003,-0.1072
0.0303,-0.3031,-0.1524
0.0127,-0.3581,-0.1431
0.0494,-0.3239,-0.0809
0.0851,-0.3306,-0.0706
0.0055,-0.3231,-0.0692
-0.041,-0.2487,-0.0501
-0.0507,-0.2557,-0.0494
-0.1242,-0.2608,-0.0564
-0.0655,-0.3328,-0.0384
-0.0796,-0.3057,0.0502
-0.0315,-0.2504,-0.0411
-0.0773,-0.2504,-0.0655
-0.0792,-0.3224,0.0312
-0.0386,-0.3893,0.0277
0.0463,-0.2891,0.0918
0.0594,-0.2855,-0.1338
0.0262,-0.3093,-0.1042
0.0046,-0.2661,-0.0837
-0.0781,-0.3038,-0.0902
-0.0778,-0.3157,-0.0029
-0.0351,-0.3996,0.173
0.0361,-0.3992,0.183
0.0339,-0.3337,0.0945
-0.0686,-0.2232,-0.0318
-0.0441,-0.2333,-0.085
-0.1104,-0.3507,-0.0651
-0.0659,-0.2788,0.0018
-0.1061,-0.255,0.0104
-0.0787,-0.3392,0.0358
-0.008,-0.3013,0.0353
-0.0636,-0.3032,0.0312
-0.0933,-0.3463,0.0702
-0.1388,-0.2518,-0.0843
-0.1117,-0.2354,-0.0686
-0.0288,-0.3047,-0.0009
-0.0429,-0.2501,0.0604
-0.1059,-0.2794,0.0445
-0.0661,-0.3086,-0.0329
-0.0468,-0.3088,-0.0484
0.0078,-0.2898,-0.0523
-0.0795,-0.2869,-0.0537
-0.046,-0.299,-0.0796
-0.0034,-0.29,0.0145
0.0455,-0.3281,-0.0318
-0.0264,-0.2507,-0.071
-0.1219,-0.2869,-0.0419
-0.0665,-0.294,-0.0731
-0.0185,-0.3041,0.0089
-0.0597,-0.2101,0.0811
-0.1289,-0.2732,0.0251
-0.1456,-0.2978,0.1335
-0.1523,-0.312,0.2065
-0.1197,-0.3005,0.1234
-0.1469,-0.212,-0.0757
-0.1568,-0.2537,-0.1973
-0.128,-0.2905,-0.1643
-0.0859,-0.2769,-0.0248
-0.0482,-0.2721,0.0835
-0.0183,-0.341,0.0638
-0.0364,-0.2887,0.1064
-0.1154,-0.3219,0.0072
-0.1013,-0.2844,-0.0834
-0.0534,-0.2868,-0.0745
-0.0138,-0.283,-0.0914
-0.0458,-0.2832,-0.0117
-0.0739,-0.3114,0.0029
-0.0202,-0.2923,-0.0241
-0.0052,-0.2732,-0.0527
-0.0327,-0.2709,-0.0831
0.0609,-0.3087,-0.0605
0.0124,-0.3393,-0.015
-0.0999,-0.3273,-0.0568
0.0164,-0.2843,-0.1034
-0.0136,-0.2821,-0.0367
-0.0836,-0.3271,-0.0228
-0.0018,-0.2909,-0.0678
-0.041,-0.2699,-0.1076
-0.0096,-0.2577,-0.1622
-0.0443,-0.3098,-0.0214
-0.117,-0.262,0.0814
