ax (m/s^2),ay (m/s^2),az (m/s^2)
0.2004,0.0597,-0.0796
0.2425,0.0568,-0.1
0.1967,0.04,-0.1185
0.1656,-0.0042,-0.1084
0.155,-0.0446,-0.1092
0.1815,-0.0141,-0.1605
0.1923,0.0455,-0.1114
0.1546,0.0156,-0.0604
0.1691,0.0468,-0.0858
0.1561,0.0328,-0.1164
0.155,0.0578,-0.1567
0.1825,0.0355,-0.1251
0.1876,0.0138,-0.1318
0.1773,0.0119,-0.1131
0.1535,0.0523,-0.1488
0.137,0.0714,-0.158
0.1534,0.013,-0.1557
0.1743,0.0506,-0.0889
0.1959,-0.0007,-0.1036
0.1399,-0.0275,-0.1309
0.1881,0.017,-0.1491
0.1507,0.0705,-0.1065
0.1395,0.0627,-0.1313
0.2055,0.0038,-0.1345
0.2185,-0.0215,-0.162
0.1553,0.0999,-0.0951
0.1462,0.0542,-0.0909
0.1798,0.018,-0.1187
0.1907,0.0125,-0.141
0.1367,0.0214,-0.1307
0.1441,0.0025,-0.1324
0.1206,-0.0204,-0.0834
0.1462,0.0328,-0.1269
0.1559,0.0866,-0.1299
0.168,0.0469,-0.08
0.1917,0.0438,-0.1575
0.1998,0.0315,-0.1132
0.2032,0.0551,-0.1106
0.1703,0.0385,-0.1074
0.1676,0.0218,-0.1085
0.1598,0.0071,-0.0925
0.1722,0.103,-0.109
0.1844,0.0559,-0.1307
0.2082,0.075,-0.1353
0.1738,0.0181,-0.1012
0.2019,-0.0279,-0.1489
0.162,0.0044,-0.1152
0.1145,0.0936,-0.1173
0.0676,0.0569,-0.0524
0.1294,0.0515,-0.1646
0.1965,0.0264,-0.1408
0.184,0.0647,-0.1164
0.1604,0.0853,-0.0849
0.2004,0.0438,-0.119
0.1975,0.0514,-0.1279
0.2209,0.0073,-0.1556
0.132,-0.0189,-0.1292
0.16,-0.0527,-0.1178
0.1272,0.0391,-0.1193
0.1668,-0.0054,-0.1077
0.1777,0.0179,-0.0469
0.1897,0.0452,-0.117
0.2226,0.0486,-0.1263
0.2251,0.0213,-0.1066
0.2334,0.0211,-0.0619
0.2231,0.034,-0.15
0.2053,0.035,-0.1443
0.1394,0.0702,-0.1215
0.106,-0.0113,-0.0794
0.1172,0.028,-0.1205
0.1547,0.0195,-0.1039
0.1979,-0.0293,-0.1245
0.1815,0.0119,-0.193
0.1775,0.0687,-0.0851
0.14,0.0646,-0.1135
0.1763,0.0572,-0.1665
0.1906,-0.0066,-0.1557
0.1542,0.0129,-0.1495
0.1501,0.0564,-0.0779
0.1737,0.038,-0.1422
0.1908,0.0166,-0.1489
0.1867,0.0155,-0.1473
0.1436,0.0058,-0.1328
0.136,-0.0323,-0.1213
0.1732,-0.006,-0.1178
0.1223,0.0708,-0.1452
0.1584,0.0483,-0.1193
0.1497,0.0519,-0.1
0.2121,0.0606,-0.1567
0.2112,0.0479,-0.0865
0.1723,0.0669,-0.1418
0.163,-0.0087,-0.1331
0.1582,0.0104,-0.1466
0.1519,0.0441,-0.1265
0.1843,0.0033,-0.086
0.1753,0.0437,-0.1061
0.1753,0.0437,-0.1061
0.1699,0.0105,-0.1255
0.2052,-0.0354,-0.1197
0.1937,0.0736,-0.1068
0.1749,0.0592,-0.1471
